FIRST_NAME,LAST_NAME,PLAYER_NAME,HEIGHT,WEIGHT,POSITION,AGE,TEAM,GP,GS,NOTE_2019,NOTE_2020,2020,2021,2022,2023
Steven,Adams,Steven Adams,211,120,C,26,OKC,58,58,5.56,6.18,25842697,27528088,0,0
Bam,Adebayo,Bam Adebayo,206,116,C,22,MIA,65,65,4.28,7.92,3454080,5115492,7115650,0
LaMarcus,Aldridge,LaMarcus Aldridge,211,113,C,34,SAS,53,53,8.52,9.59,26000000,24000000,0,0
Nickeil,Alexander-Walker,Nickeil Alexander-Walker,196,93,SG,21,NOP,41,0,,1.16,2964840,3113160,3261480,5009633
Grayson,Allen,Grayson Allen,193,90,SG,24,MEM,30,0,0.77,2.07,2429400,2545320,4054695,5842815
Jarrett,Allen,Jarrett Allen,211,110,C,22,BKN,64,58,4.66,4.50,2376840,3909902,5661538,0
Kadeem,Allen,Kadeem Allen,185,91,PG,27,NYK,10,0,3.08,1.34,79568,0,0,0
Al-Farouq,Aminu,Al-Farouq Aminu,203,100,PF,29,ORL,18,2,5.11,2.41,9258000,9720900,10183800,0
Justin,Anderson,Justin Anderson,198,104,SF,26,BKN,3,0,1.23,0.16,91557,0,0,0
Kyle,Anderson,Kyle Anderson,206,104,SF,26,MEM,59,20,5.50,3.04,9073050,9505100,9937150,0
Ryan,Anderson,Ryan Anderson,206,108,PF,32,HOU,2,0,0.95,0.39,5714583,5214583,5214583,0
Giannis,Antetokounmpo,Giannis Antetokounmpo,211,110,PF,25,MIL,57,57,7.99,7.02,25842697,27528088,0,0
Kostas,Antetokounmpo,Kostas Antetokounmpo,208,91,PF,22,LAL,3,0,0.15,0.0,79568,0,0,0
Thanasis,Antetokounmpo,Thanasis Antetokounmpo,198,99,SF,27,MIL,18,2,,0.27,1445697,1701593,0,0
Carmelo,Anthony,Carmelo Anthony,203,108,SF,36,POR,50,50,4.42,6.75,2159029,0,0,0
OG,Anunoby,OG Anunoby,201,105,SF,22,TOR,63,62,2.37,6.68,2281800,3872215,5634072,0
Ryan,Arcidiacono,Ryan Arcidiacono,191,88,PG,26,CHI,58,4,4.27,1.93,3000000,3000000,3000000,0
Trevor,Ariza,Trevor Ariza,203,98,SF,34,SAC,53,21,6.85,5.80,12200000,12800000,0,0
D.J.,Augustin,D.J. Augustin,180,83,PG,32,ORL,49,6,5.81,4.18,7250000,0,0,0
Deandre,Ayton,Deandre Ayton,211,113,C,21,PHX,30,25,5.69,6.72,9562920,10018200,12632950,16422835
Dwayne,Bacon,Dwayne Bacon,198,100,SG,24,CHA,39,11,1.96,1.71,1618520,2023150,0,0
Marvin,Bagley III,Marvin Bagley III,211,107,PF,21,SAC,13,6,4.03,3.25,8556120,8963640,11312114,14762308
Lonzo,Ball,Lonzo Ball,198,86,PG,22,NOP,56,47,5.37,6.77,8719320,11003782,14359935,0
Mo,Bamba,Mo Bamba,213,105,C,22,ORL,60,0,2.32,2.33,5697600,5969040,7568743,10096703
J.J.,Barea,J.J. Barea,178,82,PG,35,DAL,26,4,2.82,2.32,2564753,0,0,0
Harrison,Barnes,Harrison Barnes,203,102,SF,28,SAC,64,64,6.21,7.38,24147727,22215909,20284091,18352273
RJ,Barrett,RJ Barrett,198,97,SG,19,NYK,56,55,,4.33,7839960,8231760,8623920,10900634
Will,Barton,Will Barton,196,82,SG,29,DEN,58,58,4.43,7.22,12776786,13723214,14669642,0
Keita,Bates-Diop,Keita Bates-Diop,203,104,SF,24,MIN,39,0,2.27,2.70,1416852,1663861,0,0
Nicolas,Batum,Nicolas Batum,206,104,SF,31,CHA,22,3,6.71,3.91,25565217,27130434,0,0
Aron,Baynes,Aron Baynes,208,118,C,33,PHX,42,28,2.85,3.20,5453280,0,0,0
Kent,Bazemore,Kent Bazemore,193,88,SF,30,POR,64,21,4.06,4.35,19269663,0,0,0
Darius,Bazley,Darius Bazley,203,94,PF,19,OKC,53,8,,2.02,2284800,2399160,2513040,4264628
Bradley,Beal,Bradley Beal,191,94,SG,27,WAS,57,57,8.74,8.03,27093018,28751774,34502129,37262299
Malik,Beasley,Malik Beasley,193,85,SG,23,DEN,55,14,3.34,3.31,2731713,3895423,0,0
Marco,Belinelli,Marco Belinelli,196,100,SG,34,SAS,52,0,3.04,1.77,5846154,0,0,0
Jordan,Bell,Jordan Bell,203,97,PF,25,MIN,29,0,0.88,0.81,1620564,0,0,0
DeAndre',Bembry,DeAndre' Bembry,196,95,SG,25,ATL,43,4,3.40,2.51,2603981,3752337,0,0
Dragan,Bender,Dragan Bender,213,113,PF,22,MIL,16,3,1.59,2.11,1868554,0,0,0
Davis,Bertans,Davis Bertans,208,102,PF,27,WAS,54,4,3.58,5.58,7000000,0,0,0
Patrick,Beverley,Patrick Beverley,185,82,PG,31,LAC,48,48,5.54,4.73,12345680,13333333,14320987,0
Khem,Birch,Khem Birch,206,106,C,27,ORL,40,24,1.61,1.84,3000000,3000000,0,0
Goga,Bitadze,Goga Bitadze,211,113,C,20,IND,49,2,,0.65,2816760,2957520,3098400,4765339
Bismack,Biyombo,Bismack Biyombo,203,116,C,27,CHA,53,29,1.37,2.01,17000000,0,0,0
Nemanja,Bjelica,Nemanja Bjelica,208,106,PF,32,SAC,64,61,3.81,5.47,6825000,7150000,0,0
Eric,Bledsoe,Eric Bledsoe,185,97,PG,30,MIL,56,56,6.85,5.63,15625000,16875000,18125000,19375000
Bogdan,Bogdanovic,Bogdan Bogdanovic,198,100,SG,27,SAC,53,20,4.50,4.58,8529386,0,0,0
Bojan,Bogdanovic,Bojan Bogdanovic,203,103,SF,31,UTA,63,63,6.07,6.66,17000000,17850000,18700000,19550000
Jonah,Bolden,Jonah Bolden,203,99,PF,24,PHI,7,0,1.54,0.19,1788296,0,0,0
Jordan,Bone,Jordan Bone,191,82,PG,22,DET,10,0,,0.15,79568,0,0,0
Isaac,Bonga,Isaac Bonga,203,82,SF,20,WAS,58,41,0.26,3.08,1416852,1663861,0,0
Devin,Booker,Devin Booker,196,93,SG,23,PHX,62,62,5.75,6.86,27285000,29430000,31610000,33790000
Chris,Boucher,Chris Boucher,206,91,PF,27,TOR,55,0,0.55,1.79,1588231,0,0,0
Brian,Bowen II,Brian Bowen II,198,86,SG,21,IND,5,1,,0.19,79568,0,0,0
Ky,Bowman,Ky Bowman,185,85,PG,22,GSW,45,12,,3.35,350189,1517981,1782621,0
Avery,Bradley,Avery Bradley,191,82,PG,29,LAL,49,44,5.07,3.52,6767000,5005350,0,0
Tony,Bradley,Tony Bradley,208,112,C,22,UTA,50,2,0.89,1.11,1962360,3542060,5277669,0
Jarrell,Brantley,Jarrell Brantley,196,113,PF,23,UTA,5,0,,0.00,79568,0,0,0
Ignas,Brazdeikis,Ignas Brazdeikis,198,100,SF,21,NYK,9,0,,0.37,898310,1517981,1782621,0
Mikal,Bridges,Mikal Bridges,198,95,SF,23,PHX,65,24,5.52,6.15,4161000,4359000,5557725,7569621
Miles,Bridges,Miles Bridges,198,102,SF,22,CHA,65,64,3.85,6.20,3755400,3934320,5421493,7469530
Oshae,Brissett,Oshae Brissett,201,95,SF,21,TOR,19,0,,0.53,129568,0,0,0
Ryan,Broekhoff,Ryan Broekhoff,198,97,SG,29,DAL,17,1,0.97,1.46,1416852,0,0,0
Malcolm,Brogdon,Malcolm Brogdon,196,104,PG,27,IND,48,48,6.99,6.49,20000000,20700000,21700000,22600000
Dillon,Brooks,Dillon Brooks,201,102,SF,24,MEM,65,65,2.00,4.61,1618520,11400000,12200000,11400000
Bruce,Brown,Bruce Brown,193,92,SG,23,DET,58,43,2.02,4.92,1416852,1663861,0,0
Jaylen,Brown,Jaylen Brown,198,101,SG,23,BOS,50,50,3.56,6.20,6534829,23883928,25794643,27705357
Moses,Brown,Moses Brown,218,111,C,20,POR,9,0,,0.03,79568,0,0,0
Troy,Brown Jr.,Troy Brown Jr.,198,98,SF,20,WAS,61,14,1.76,4.79,3219480,3372840,5170564,7228448
Jalen,Brunson,Jalen Brunson,185,86,PG,23,DAL,57,16,3.30,2.68,1416852,1663861,1802057,0
Thomas,Bryant,Thomas Bryant,208,112,C,22,WAS,38,28,4.61,5.44,8000000,8333333,8666667,0
Reggie,Bullock,Reggie Bullock,198,93,SG,29,NYK,29,19,4.36,3.11,4000000,4200000,0,0
Trey,Burke,Trey Burke,183,79,PG,27,PHI,25,0,3.51,1.74,2028594,0,0,0
Alec,Burks,Alec Burks,198,97,SG,28,GSW,59,18,3.23,5.30,2320044,0,0,0
Deonte,Burton,Deonte Burton,193,109,SG,26,OKC,34,0,0.44,0.47,1416852,1663861,0,0
Jimmy,Butler,Jimmy Butler,201,104,SF,30,MIA,54,54,8.90,9.12,32742000,34379100,36016200,37653300
Bruno,Caboclo,Bruno Caboclo,206,99,SF,24,MEM,27,0,4.44,0.92,1845301,0,0,0
Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,196,93,SG,27,LAL,63,20,3.66,3.81,8089282,8493746,0,0
Vlatko,Cancar,Vlatko Cancar,203,107,SF,23,DEN,14,0,,0.09,898310,1571981,1782621,0
Clint,Capela,Clint Capela,208,109,C,26,HOU,39,39,6.88,6.39,16896552,18000000,19103448,20206896
DeMarre,Carroll,DeMarre Carroll,198,98,SF,33,SAS,21,0,3.95,0.92,7339258,6119676,1242340,0
Jevon,Carter,Jevon Carter,185,91,PG,24,PHX,50,2,2.20,2.30,1416852,0,0,0
Vince,Carter,Vince Carter,198,100,SG,43,ATL,60,0,2.17,1.68,2564753,0,0,0
Wendell,Carter Jr.,Wendell Carter Jr.,206,122,C,21,CHI,43,43,4.14,4.11,5201400,5448840,6920027,9279756
Michael,Carter-Williams,Michael Carter-Williams,196,86,SG,28,ORL,42,0,1.38,3.10,2028594,0,0,0
Alex,Caruso,Alex Caruso,196,84,PG,26,LAL,58,1,3.25,2.76,2750000,2750000,0,0
Willie,Cauley-Stein,Willie Cauley-Stein,213,109,C,26,GSW,54,39,4.99,3.00,2177483,2286357,0,0
Tyson,Chandler,Tyson Chandler,213,107,PF,37,HOU,26,5,1.23,0.50,2564753,0,0,0
Wilson,Chandler,Wilson Chandler,203,107,SF,33,BKN,35,3,3.33,3.09,2564753,0,0,0
Joe,Chealey,Joe Chealey,193,86,PG,24,CHA,4,0,0.25,0.53,163356,0,0,0
Zylan,Cheatham,Zylan Cheatham,196,100,SF,24,NOP,3,0,,0.31,79568,0,0,0
Chris,Chiozza,Chris Chiozza,180,79,PG,24,WAS,21,0,0.36,1.90,159136,0,0,0
Marquese,Chriss,Marquese Chriss,206,109,PF,22,GSW,59,21,0.91,3.13,1413273,1824003,0,0
Gary,Clark,Gary Clark,198,102,PF,25,HOU,35,1,0.98,1.51,1427191,0,0,0
Brandon,Clarke,Brandon Clarke,203,98,PF,23,MEM,50,3,,4.32,2478840,2602920,2726880,4343919
Jordan,Clarkson,Jordan Clarkson,193,88,SG,27,CLE,63,0,4.19,4.00,13437500,0,0,0
Nicolas,Claxton,Nicolas Claxton,211,98,PF,21,BKN,15,0,,0.84,898310,1517981,1782621,0
Chris,Clemons,Chris Clemons,175,82,SG,22,HOU,29,0,,1.01,563346,1517981,1782621,0
Antonius,Cleveland,Antonius Cleveland,196,88,SG,26,DAL,6,0,,0.14,79568,0,0,0
Amir,Coffey,Amir Coffey,201,95,SG,22,LAC,13,0,,0.30,79568,0,0,0
John,Collins,John Collins,206,107,PF,22,ATL,41,41,5.06,7.75,2686560,4137302,5899793,0
Zach,Collins,Zach Collins,211,113,PF,22,POR,3,3,2.16,2.17,4240200,5406255,7363319,0
Mike,Conley,Mike Conley,185,79,PG,32,UTA,41,35,8.51,4.69,32511623,34502130,0,0
Pat,Connaughton,Pat Connaughton,196,95,SG,27,MIL,61,1,3.13,2.90,1723050,0,0,0
Quinn,Cook,Quinn Cook,185,82,PG,27,LAL,38,0,2.19,1.14,3000000,3000000,0,0
Tyler,Cook,Tyler Cook,203,115,PF,22,CLE,11,0,5.96,0.14,131955,0,0,0
Robert,Covington,Robert Covington,201,95,SF,29,MIN,62,60,8.10,7.44,11301219,12138345,12975471,0
Allen,Crabbe,Allen Crabbe,196,96,SG,28,ATL,37,1,3.08,1.71,17818456,0,0,0
Torrey,Craig,Torrey Craig,201,100,SF,29,DEN,50,19,2.89,2.41,2000000,0,0,0
Jae,Crowder,Jae Crowder,198,107,SF,29,MEM,58,46,4.46,5.90,7815533,0,0,0
Jarrett,Culver,Jarrett Culver,198,88,SG,21,MIN,63,35,,3.03,5813640,6104280,6395160,8109062
Seth,Curry,Seth Curry,188,84,PG,29,DAL,59,20,3.59,4.29,7461380,7834449,8207518,8496653
Stephen,Curry,Stephen Curry,191,84,PG,32,GSW,5,5,9.77,6.21,40231758,43006362,45780966,0
Troy,Daniels,Troy Daniels,193,91,SG,28,LAL,42,0,1.41,0.97,2487033,0,0,0
Anthony,Davis,Anthony Davis,208,115,PF,27,LAL,55,55,10.0,10.0,27093019,28751775,0,0
Ed,Davis,Ed Davis,206,99,PF,30,UTA,25,0,1.58,0.42,4767000,5005350,0,0
Terence,Davis,Terence Davis,193,91,SG,23,TOR,64,2,,2.68,898310,1517981,0,0
Dewayne,Dedmon,Dewayne Dedmon,213,111,C,30,SAC,44,18,6.06,1.95,13333334,13333333,13333333,0
Matthew,Dellavedova,Matthew Dellavedova,191,91,PG,29,CLE,57,4,2.17,1.53,9607500,0,0,0
DeMar,DeRozan,DeMar DeRozan,198,100,SG,30,SAS,61,61,6.89,6.58,27739975,27739975,0,0
Cheick,Diallo,Cheick Diallo,203,99,PF,23,PHX,44,2,1.76,1.23,1678854,1824003,0,0
Hamidou,Diallo,Hamidou Diallo,196,92,SG,21,OKC,38,3,0.51,1.49,1416852,1663861,0,0
Gorgui,Dieng,Gorgui Dieng,208,114,C,30,MIN,58,17,2.62,3.45,16229213,17287640,0,0
Spencer,Dinwiddie,Spencer Dinwiddie,196,98,SG,27,BKN,64,49,3.78,4.93,10605600,11454048,12302496,0
Donte,DiVincenzo,Donte DiVincenzo,193,92,SG,23,MIL,59,22,1.39,4.43,2905800,3044160,4675830,6610599
Luka,Doncic,Luka Doncic,201,104,PG,21,DAL,54,54,7.17,8.04,7683360,8049360,10174391,13348800
Luguentz,Dort,Luguentz Dort,191,98,SG,21,OKC,29,21,,2.18,79568,0,0,0
Damyean,Dotson,Damyean Dotson,196,95,SG,26,NYK,48,0,3.67,2.12,1618520,0,0,0
Sekou,Doumbouya,Sekou Doumbouya,203,104,SF,19,DET,38,19,,2.10,3285120,3449400,3613680,5539771
PJ,Dozier,PJ Dozier,198,93,SG,23,DEN,21,0,0.45,0.88,79568,0,0,0
Goran,Dragic,Goran Dragic,191,86,PG,34,MIA,54,1,4.62,4.63,19217900,0,0,0
Andre,Drummond,Andre Drummond,208,127,C,26,DET,57,56,7.58,6.44,27093018,28751774,0,0
Jared,Dudley,Jared Dudley,198,108,SG,34,LAL,40,1,2.25,1.15,2564753,0,0,0
Kris,Dunn,Kris Dunn,191,93,PG,26,CHI,51,32,6.19,4.24,5348007,7091457,0,0
Kevin,Durant,Kevin Durant,208,109,SF,30,BKN,0,0,9.54,9.54,37199000,39058950,40918900,42778850
Carsen,Edwards,Carsen Edwards,180,91,SG,22,BOS,35,0,,0.89,1228026,1517981,1782621,1930681
Henry,Ellenson,Henry Ellenson,208,108,PF,23,BKN,5,0,1.81,0.02,79568,0,0,0
Wayne,Ellington,Wayne Ellington,193,94,SG,32,NYK,36,1,3.17,1.89,8000000,8000000,0,0
Joel,Embiid,Joel Embiid,213,127,C,26,PHI,44,44,9.53,7.62,27504630,29542010,31579390,33616770
James,Ennis III,James Ennis III,198,98,SF,29,PHI,61,10,2.96,2.60,1882867,2130023,0,0
Drew,Eubanks,Drew Eubanks,206,111,PF,23,SAS,14,3,0.27,0.86,79568,0,0,0
Jacob,Evans,Jacob Evans,193,95,SG,22,GSW,29,1,0.15,1.76,1925880,2017320,3641263,5425481
Dante,Exum,Dante Exum,196,97,SG,24,UTA,35,1,1.39,1.69,9600000,9600000,0,0
Tacko,Fall,Tacko Fall,226,141,C,24,BOS,6,0,,0.10,79568,0,0,0
Derrick,Favors,Derrick Favors,206,120,PF,28,NOP,45,43,3.84,3.23,17650000,0,0,0
Cristiano,Felicio,Cristiano Felicio,208,122,PF,27,CHI,22,0,0.86,1.82,8156500,7529020,0,0
Terrance,Ferguson,Terrance Ferguson,198,86,SG,22,OKC,50,37,2.30,2.10,2475840,3944013,5683323,0
Bruno,Fernando,Bruno Fernando,206,109,C,21,ATL,56,13,,0.81,1400000,1517981,1782621,0
Yogi,Ferrell,Yogi Ferrell,183,81,PG,27,SAC,44,0,2.62,1.26,3150000,0,0,0
Dorian,Finney-Smith,Dorian Finney-Smith,201,100,SF,27,DAL,64,61,3.75,5.81,4000000,4000000,4000000,0
Bryn,Forbes,Bryn Forbes,188,93,SG,26,SAS,63,62,3.91,3.25,2875000,0,0,0
Evan,Fournier,Evan Fournier,201,93,SG,27,ORL,61,61,4.13,5.57,17150000,17150000,0,0
De'Aaron,Fox,De'Aaron Fox,191,84,PG,22,SAC,45,43,7.73,6.61,6392760,8099627,10740105,0
Michael,Frazier,Michael Frazier,191,91,SG,26,HOU,8,0,,0.38,1416852,1663861,0,0
Tim,Frazier,Tim Frazier,183,77,PG,29,DET,27,11,2.89,1.43,79568,0,0,0
Melvin,Frazier Jr.,Melvin Frazier Jr.,196,98,SG,23,ORL,15,0,0.01,0.16,1620564,0,0,0
Markelle,Fultz,Markelle Fultz,191,95,PG,22,ORL,64,59,2.76,4.96,9745200,12288697,15975306,0
Wenyen,Gabriel,Wenyen Gabriel,206,93,PF,23,SAC,28,1,,0.59,1445697,0,0,0
Daniel,Gafford,Daniel Gafford,208,106,C,21,CHI,43,7,,1.26,898310,1517981,1782621,1930681
Danilo,Gallinari,Danilo Gallinari,208,106,PF,31,OKC,55,55,6.38,6.50,22615559,0,0,0
Langston,Galloway,Langston Galloway,185,91,PG,28,DET,66,6,3.46,4.54,7333333,0,0,0
Darius,Garland,Darius Garland,185,87,PG,20,CLE,59,59,,4.75,6400920,6720720,7040880,8920794
Marc,Gasol,Marc Gasol,211,116,C,35,TOR,36,35,8.13,5.74,25595700,0,0,0
Rudy,Gay,Rudy Gay,203,113,SF,33,SAS,60,5,5.67,4.06,14500000,14500000,0,0
Paul,George,Paul George,203,100,SF,30,LAC,42,42,9.99,7.23,33005556,35450412,37895268,0
Taj,Gibson,Taj Gibson,206,105,PF,34,NYK,62,56,3.85,2.02,9000000,9450000,0,0
Harry,Giles III,Harry Giles III,211,109,PF,22,SAC,38,17,0.90,1.46,2578800,0,0,0
Shai,Gilgeous-Alexander,Shai Gilgeous-Alexander,196,82,SG,21,OKC,63,63,4.62,8.28,3952920,4141320,5495532,7523383
