FIRST_NAME,LAST_NAME,PLAYER_NAME,HEIGHT,WEIGHT,POSITION,AGE,TEAM,GP,GS,NOTE_2019,NOTE_2020,2020,2021,2022,2023
Marcus,Morris Sr.,Marcus Morris Sr.,203,99,SF,30,NYK,55,55,5.30,6.57,15000000,0,0,0
Johnathan,Motley,Johnathan Motley,203,104,PF,25,LAC,13,0,0.32,0.15,79568,0,0,0
Emmanuel,Mudiay,Emmanuel Mudiay,191,91,PG,24,UTA,48,1,4.88,2.17,1737145,0,0,0
Dejounte,Murray,Dejounte Murray,193,82,PG,23,SAS,58,50,,5.43,2321735,14286000,15428880,16571120
Jamal,Murray,Jamal Murray,193,98,PG,23,DEN,55,55,7.57,7.36,4444746,29000000,31320000,33640000
Dzanan,Musa,Dzanan Musa,206,98,SF,21,BKN,35,0,0.20,1.07,1911600,2002800,3615054,5429079
Mike,Muscala,Mike Muscala,208,109,PF,28,OKC,41,0,2.71,1.47,2028594,2283034,0,0
Svi,Mykhailiuk,Svi Mykhailiuk,201,93,SF,22,DET,56,27,0.95,3.71,1416852,1663861,0,0
Abdel,Nader,Abdel Nader,196,102,SF,26,OKC,48,5,1.40,2.37,1618520,1752950,0,0
Larry,Nance Jr.,Larry Nance Jr.,201,111,PF,27,CLE,56,10,5.17,4.83,12727273,11709091,10690909,0
Shabazz,Napier,Shabazz Napier,183,79,PG,28,MIN,51,30,3.12,4.30,1845301,0,0,0
Raul,Neto,Raul Neto,185,82,PG,28,PHI,49,3,1.88,1.50,1737145,0,0,0
Georges,Niang,Georges Niang,201,104,PF,26,UTA,58,0,0.98,1.88,1645357,1783557,0,0
Nerlens,Noel,Nerlens Noel,208,100,C,26,OKC,55,6,1.89,4.08,1882867,0,0,0
Zach,Norvell Jr.,Zach Norvell Jr.,196,93,SG,22,LAL,5,0,,0.95,130320,0,0,0
Jaylen,Nowell,Jaylen Nowell,193,91,SG,20,MIN,15,0,,0.95,1400000,1517981,1782621,1930681
Frank,Ntilikina,Frank Ntilikina,193,91,PG,21,NYK,57,26,2.62,3.05,4855800,6176578,8326027,0
Kendrick,Nunn,Kendrick Nunn,188,86,SG,24,MIA,62,62,,4.77,1416852,1663861,0,0
Jusuf,Nurkic,Jusuf Nurkic,213,132,C,24,POR,0,0,5.25,5.25,12000000,12888889,12000000,0
David,Nwaba,David Nwaba,196,99,SF,27,BKN,20,0,2.69,2.30,1678854,0,0,0
Royce,O'Neale,Royce O'Neale,193,103,SF,26,UTA,64,55,3.18,5.29,1618520,8500000,8800000,9200000
Kyle,O'Quinn,Kyle O'Quinn,206,113,C,30,PHI,26,1,0.90,1.00,2174318,0,0,0
Semi,Ojeleye,Semi Ojeleye,198,109,PF,25,BOS,61,5,0.86,2.01,1618520,1752950,0,0
Jahlil,Okafor,Jahlil Okafor,208,122,C,24,NOP,28,9,2.14,1.65,1702486,0,0,0
Elie,Okobo,Elie Okobo,191,86,PG,22,PHX,54,3,2.10,1.48,1416852,1663861,1802057,0
Josh,Okogie,Josh Okogie,193,97,SG,21,MIN,62,28,3.00,3.77,2530680,2651040,4087904,5857966
KZ,Okpala,KZ Okpala,203,98,SF,21,MIA,5,0,,0.36,898310,1517981,1782621,0
Victor,Oladipo,Victor Oladipo,193,97,SG,28,IND,13,10,6.57,3.68,21000000,21000000,0,0
Kelly,Olynyk,Kelly Olynyk,211,109,PF,29,MIA,59,6,3.53,3.02,12667885,13598243,0,0
Miye,Oni,Miye Oni,196,93,SG,22,UTA,5,0,,0.01,898310,1517981,1782621,0
Cedi,Osman,Cedi Osman,201,104,SF,25,CLE,65,65,5.15,4.66,2907143,8840580,8133334,7426088
Kelly,Oubre Jr.,Kelly Oubre Jr.,201,92,SF,24,PHX,56,55,5.53,7.80,15625000,14375000,0,0
Tariq,Owens,Tariq Owens,208,93,PF,24,PHX,3,0,,0.08,79568,0,0,0
Jeremy,Pargo,Jeremy Pargo,188,99,PG,34,GSW,3,0,,1.09,91557,0,0,0
Jabari,Parker,Jabari Parker,203,111,PF,25,ATL,33,23,3.92,4.12,6500000,6500000,0,0
Chandler,Parsons,Chandler Parsons,206,104,SF,31,ATL,5,0,2.94,0.83,25102512,0,0,0
Eric,Paschall,Eric Paschall,198,116,PF,23,GSW,60,26,,3.86,898310,1517981,1782621,
Anzejs,Pasecniks,Anzejs Pasecniks,218,104,C,24,WAS,24,0,,1.07,482144,1517981,1782621,0
Patrick,Patterson,Patrick Patterson,203,107,PF,31,LAC,51,18,1.34,1.45,3068660,737067,737067,0
Justin,Patton,Justin Patton,211,109,C,22,OKC,5,0,0.30,0.13,1620564,0,0,0
Chris,Paul,Chris Paul,185,79,PG,35,OKC,63,63,8.31,7.64,38506482,41358814,44211146,0
Elfrid,Payton,Elfrid Payton,191,88,PG,26,NYK,45,36,6.11,5.22,8000000,8000000,0,0
Gary,Payton II,Gary Payton II,191,88,PG,27,WAS,29,17,0.62,1.60,1052909,0,0,0
Norvel,Pelle,Norvel Pelle,208,105,C,27,PHI,20,0,,0.44,350189,1517981,0,0
Theo,Pinson,Theo Pinson,196,96,SG,24,BKN,33,0,0.92,1.04,1445697,1701593,0,0
Mason,Plumlee,Mason Plumlee,211,115,C,30,DEN,53,1,2.93,1.65,14041096,0,0,0
Jakob,Poeltl,Jakob Poeltl,216,111,C,24,SAS,58,10,1.84,2.16,3754885,5087870,0,0
Vincent,Poirier,Vincent Poirier,213,107,C,26,BOS,21,0,,0.40,2505793,2619207,0,0
Shamorie,Ponds,Shamorie Ponds,183,81,PG,21,TOR,4,0,,0.14,79568,0,0,0
Jordan,Poole,Jordan Poole,193,88,SG,20,GSW,57,14,,2.58,1964760,2063280,2161440,3901399
Kevin,Porter Jr.,Kevin Porter Jr.,193,92,PG,20,CLE,50,3,,3.16,1290960,1717981,1782621,3217631
Michael,Porter Jr.,Michael Porter Jr.,208,99,PF,21,DEN,48,1,,2.08,3389400,3550800,5258735,7314900
Otto,Porter Jr.,Otto Porter Jr.,203,90,SF,26,CHI,14,9,7.16,4.49,27250576,28489239,0,0
Bobby,Portis,Bobby Portis,208,113,PF,25,NYK,66,5,4.25,3.18,15000000,15750000,0,0
Kristaps,Porzingis,Kristaps Porzingis,221,109,PF,24,DAL,51,51,,6.73,27285000,29467800,31650600,33833400
Dwight,Powell,Dwight Powell,208,109,PF,28,DAL,40,37,3.31,3.94,10259375,11080125,11080125,11080125
Norman,Powell,Norman Powell,191,98,SG,27,TOR,44,23,2.50,5.85,10116576,10865952,11615328,0
Taurean,Prince,Taurean Prince,201,99,SF,26,BKN,64,61,4.78,5.20,3481985,12250000,13000000,
Chasson,Randle,Chasson Randle,188,84,PG,27,GSW,3,0,1.94,0.77,91557,0,0,0
Julius,Randle,Julius Randle,203,113,PF,25,NYK,64,64,5.09,5.09,18000000,18900000,19800000,0
Josh,Reaves,Josh Reaves,193,97,SG,22,DAL,2,0,,0.01,79568,0,0,0
Cam,Reddish,Cam Reddish,203,99,SF,20,ATL,58,34,,4.68,4245720,4458000,4670160,5954454
JJ,Redick,JJ Redick,191,91,SG,35,NOP,54,35,5.06,4.64,13486300,13013700,0,0
Naz,Reid,Naz Reid,206,120,C,20,MIN,30,11,,2.30,898310,1517981,1782621,1930681
Josh,Richardson,Josh Richardson,196,91,SG,26,PHI,48,46,6.61,5.37,10116576,10865952,11615328,0
Austin,Rivers,Austin Rivers,191,91,PG,27,HOU,60,4,2.85,3.22,2174310,2436046,0,0
Duncan,Robinson,Duncan Robinson,201,98,SF,26,MIA,65,60,1.05,5.93,1416852,1663861,0,0
Jerome,Robinson,Jerome Robinson,193,86,SG,23,LAC,55,4,0.56,1.34,3567720,3737520,5340916,7386486
Justin,Robinson,Justin Robinson,185,88,PG,22,WAS,9,0,,0.39,395865,0,0,0
Mitchell,Robinson,Mitchell Robinson,213,109,C,22,NYK,61,7,3.38,3.97,1559712,1663861,1802057,0
Glenn,Robinson III,Glenn Robinson III,198,101,SF,26,GSW,60,52,1.63,6.46,1882867,0,0,0
Isaiah,Roby,Isaiah Roby,203,104,SF,22,OKC,3,0,,0.02,1500000,1517981,1782621,1930681
Rajon,Rondo,Rajon Rondo,185,82,PG,34,LAL,48,3,5.44,2.87,2564753,2692991,0,0
Derrick,Rose,Derrick Rose,188,91,PG,31,DET,50,15,6.17,5.46,7317074,7682926,0,0
Terrence,Ross,Terrence Ross,198,93,SG,29,ORL,63,0,4.87,4.94,12500000,13500000,12500000,11500000
Terry,Rozier,Terry Rozier,185,86,PG,26,CHA,63,63,4.54,7.11,19894737,18900000,17905263,0
Ricky,Rubio,Ricky Rubio,191,86,PG,29,PHX,57,57,5.01,6.91,16200000,17000000,17800000,0
D'Angelo,Russell,D'Angelo Russell,193,88,PG,24,GSW,45,45,6.88,6.93,27285000,28649250,30013500,31377750
Domantas,Sabonis,Domantas Sabonis,211,109,PF,24,IND,62,62,3.50,6.60,3529554,18500000,18500000,18500000
Luka,Samanic,Luka Samanic,208,103,PF,20,SAS,1,0,,0.47,2689920,2824320,2959080,4556983
JaKarr,Sampson,JaKarr Sampson,201,97,SF,27,IND,26,10,8.14,1.17,1737145,0,0,0
Dario,Saric,Dario Saric,208,102,PF,26,PHX,58,50,3.92,3.99,3481985,4791212,0,0
Tomas,Satoransky,Tomas Satoransky,201,95,PG,28,CHI,65,64,5.59,5.38,10000000,10000000,10000000,0
Admiral,Schofield,Admiral Schofield,196,109,SF,23,WAS,27,2,,0.99,1000000,1517981,1782621,0
Dennis,Schroder,Dennis Schroder,185,78,PG,26,OKC,63,1,5.21,5.78,15500000,15500000,0,0
Mike,Scott,Mike Scott,201,108,PF,31,PHI,63,10,1.89,2.44,4767000,5005350,0,0
Thabo,Sefolosha,Thabo Sefolosha,198,98,SF,36,HOU,41,0,1.78,0.90,2564753,0,0,0
Collin,Sexton,Collin Sexton,185,86,PG,21,CLE,65,65,5.55,6.01,4764960,4991880,6349671,8559356
Landry,Shamet,Landry Shamet,193,86,SG,23,LAC,47,27,2.72,3.65,1995120,2090040,3768342,5562072
Marial,Shayok,Marial Shayok,196,90,SG,24,PHI,2,0,,0.26,79568,0,0,0
Iman,Shumpert,Iman Shumpert,196,97,SG,29,BKN,13,0,3.54,1.57,419443,0,0,0
Pascal,Siakam,Pascal Siakam,206,104,PF,26,TOR,53,53,6.09,7.67,2351838,29000000,31320000,33640000
Chris,Silva,Chris Silva,203,106,PF,23,MIA,41,0,,0.44,466918,1517981,1782621,0
Ben,Simmons,Ben Simmons,208,109,PG,23,PHI,54,54,7.48,9.19,8113929,29000000,31320000,33640000
Anfernee,Simons,Anfernee Simons,191,82,SG,20,POR,65,4,0.29,2.65,2149560,2252040,3938818,5758551
Alen,Smailagic,Alen Smailagic,208,98,PF,19,GSW,14,0,,1.01,898310,1517981,1782621,1930681
Marcus,Smart,Marcus Smart,191,100,SG,26,BOS,53,39,4.92,6.68,12553571,12946428,13839285,0
Ish,Smith,Ish Smith,183,79,PG,31,WAS,60,19,3.42,5.09,6000000,6000000,0,0
Zhaire,Smith,Zhaire Smith,191,93,SG,20,PHI,7,0,2.19,0.12,3058800,3204600,4915856,6906777
Dennis,Smith Jr.,Dennis Smith Jr.,188,93,PG,22,NYK,34,3,4.69,1.44,4463640,5686677,7705447,0
Tony,Snell,Tony Snell,198,97,SG,28,DET,59,57,2.31,4.93,11392857,12178571,0,0
Omari,Spellman,Omari Spellman,203,111,PF,22,GSW,49,3,2.26,2.92,1897800,1988280,3588845,5383267
Max,Strus,Max Strus,196,98,SG,24,CHI,2,0,,0.25,494568,0,0,0
Edmond,Sumner,Edmond Sumner,193,89,PG,24,IND,25,2,0.79,1.57,2000000,2160000,2320000,0
Caleb,Swanigan,Caleb Swanigan,206,118,PF,23,SAC,27,1,0.39,0.36,2033160,0,0,0
Jayson,Tatum,Jayson Tatum,203,95,SF,22,BOS,59,59,7.10,9.99,7830000,9897120,12985021,0
Jeff,Teague,Jeff Teague,191,88,PG,31,MIN,59,17,6.35,4.53,19000000,0,0,0
Garrett,Temple,Garrett Temple,196,88,SG,34,BKN,55,31,3.56,4.70,4767000,5005350,0,0
Daniel,Theis,Daniel Theis,203,111,C,28,BOS,58,57,2.36,4.58,5000000,5000000,0,0
Isaiah,Thomas,Isaiah Thomas,175,83,PG,31,WAS,40,37,1.33,3.39,2320044,0,0,0
Khyri,Thomas,Khyri Thomas,191,95,SG,24,DET,8,0,0.39,0.39,1416852,1663861,0,0
Matt,Thomas,Matt Thomas,193,86,PG,25,TOR,33,0,2.00,1.10,898310,1517981,1782621,0
Klay,Thompson,Klay Thompson,198,98,SG,29,GSW,0,0,7.22,7.22,32742000,35361360,37980720,40600080
Tristan,Thompson,Tristan Thompson,206,115,C,29,CLE,57,51,4.12,6.48,18539130,0,0,0
Matisse,Thybulle,Matisse Thybulle,196,91,SG,23,PHI,57,13,,2.88,2582160,2711280,2840160,4379526
Anthony,Tolliver,Anthony Tolliver,203,108,SF,34,POR,47,9,2.33,1.78,2564753,0,0,0
Karl-Anthony,Towns,Karl-Anthony Towns,211,112,C,24,MIN,35,35,9.77,10.0,27285000,29467800,31650600,33833400
Gary,Trent Jr.,Gary Trent Jr.,196,95,SG,21,POR,53,8,0.20,2.97,1416852,1663861,0,0
Allonzo,Trier,Allonzo Trier,193,91,PG,24,NYK,24,1,3.76,1.42,3551100,0,0,0
P.J.,Tucker,P.J. Tucker,196,111,PF,35,HOU,64,64,5.65,6.02,8349039,7969537,0,0
Rayjon,Tucker,Rayjon Tucker,191,95,SG,22,UTA,14,0,,0.25,578573,1517981,0,0
Evan,Turner,Evan Turner,198,100,SG,31,ATL,19,0,2.59,1.43,18606556,0,0,0
Myles,Turner,Myles Turner,211,113,C,24,IND,55,55,8.07,6.83,18000000,18000000,18000000,18000000
Jarrod,Uthoff,Jarrod Uthoff,206,100,PF,27,MEM,4,0,,0.02,81678,0,0,0
Jonas,Valanciunas,Jonas Valanciunas,211,120,C,28,MEM,62,62,4.51,6.28,16000000,15000000,14000000,0
Denzel,Valentine,Denzel Valentine,193,100,SG,26,CHI,36,5,,1.74,3377568,4698197,0,0
Jarred,Vanderbilt,Jarred Vanderbilt,206,97,PF,21,DEN,11,0,0.13,0.11,1416852,1663861,0,0
Fred,VanVleet,Fred VanVleet,185,89,PG,26,TOR,48,48,5.84,8.43,9346153,0,0,0
Gabe,Vincent,Gabe Vincent,191,91,PG,23,MIA,6,0,,0.30,79568,0,0,0
Noah,Vonleh,Noah Vonleh,208,117,PF,24,MIN,33,1,3.91,1.14,2000000,0,0,0
Nikola,Vucevic,Nikola Vucevic,211,118,C,29,ORL,54,54,10.0,9.61,28000000,26000000,24000000,22000000
Dean,Wade,Dean Wade,206,103,PF,23,CLE,12,0,,0.37,79568,0,0,0
Moritz,Wagner,Moritz Wagner,211,111,C,23,WAS,37,5,1.41,2.99,2063520,2161920,3893618,5719724
Dion,Waiters,Dion Waiters,191,95,SG,28,MIA,3,0,2.91,1.94,12603656,12650000,0,0
Kemba,Walker,Kemba Walker,183,83,PG,30,BOS,50,50,9.23,7.64,32742000,34379100,36016200,37653300
Lonnie,Walker IV,Lonnie Walker IV,196,93,SG,21,SAS,53,4,0.52,1.90,2764200,2895720,4453617,6319683
John,Wall,John Wall,193,95,PG,28,WAS,0,0,8.63,8.63,38199000,41254920,44310840,47366760
Tyrone,Wallace,Tyrone Wallace,196,89,SG,25,ATL,14,0,0.40,0.63,502491,0,0,0
Derrick,Walton Jr.,Derrick Walton Jr.,183,85,PG,25,LAC,26,1,,1.05,1527375,0,0,0
Brad,Wanamaker,Brad Wanamaker,191,95,PG,30,BOS,63,1,1.53,3.10,1445697,0,0,0
T.J.,Warren,T.J. Warren,203,100,SF,26,IND,61,61,6.90,7.01,10810000,11750000,12690000,0
P.J.,Washington,P.J. Washington,201,104,PF,21,CHA,58,57,0.97,4.79,3831840,4023600,4215120,5808435
Yuta,Watanabe,Yuta Watanabe,203,98,SF,25,MEM,16,0,0.31,0.48,79568,0,0,0
Tremont,Waters,Tremont Waters,178,79,PG,22,BOS,10,0,,0.93,79568,0,0,0
Paul,Watson,Paul Watson,198,95,SG,25,ATL,5,0,,0.14,130319,0,0,0
Quinndary,Weatherspoon,Quinndary Weatherspoon,191,93,SG,23,SAS,3,0,,0.03,79568,0,0,0
Russell,Westbrook,Russell Westbrook,191,91,PG,31,HOU,53,53,9.23,7.98,38506482,41358814,44211146,47063478
Coby,White,Coby White,193,88,SG,20,CHI,65,1,,3.81,5307120,5572680,5837760,7413955
Derrick,White,Derrick White,193,86,PG,25,SAS,61,13,5.64,5.19,1948080,3516284,5274427,0
Hassan,Whiteside,Hassan Whiteside,213,120,C,30,POR,61,61,3.56,7.79,27093018,0,0,0
Andrew,Wiggins,Andrew Wiggins,201,89,SF,25,MIN,54,54,6.65,7.59,27504630,29542010,31579390,33616770
Grant,Williams,Grant Williams,198,107,PF,21,BOS,62,5,,1.44,2379840,2498760,2617800,4306281
Johnathan,Williams,Johnathan Williams,206,103,PF,25,WAS,11,5,0.92,0.96,161245,0,0,0
Kenrich,Williams,Kenrich Williams,198,95,SG,25,NOP,35,18,3.40,2.62,1416852,0,0,0
Lou,Williams,Lou Williams,185,79,PG,33,LAC,60,8,5.88,5.8,8000000,8000000,0,0
Marvin,Williams,Marvin Williams,203,108,PF,33,CHA,52,1,5.00,3.15,14654179,0,0,0
Robert,Williams III,Robert Williams III,203,108,PF,22,BOS,23,1,0.76,1.60,122741,122741,0,0
Nigel,Williams-Goss,Nigel Williams-Goss,188,86,PG,25,UTA,9,0,,0.09,1500000,1517981,1782621,0
Zion,Williamson,Zion Williamson,198,129,PF,19,NOP,19,19,,4.55,9757440,10245480,10733400,13534817
D.J.,Wilson,D.J. Wilson,208,105,PF,24,MIL,31,0,2.03,0.66,2961120,4548280,6422172,0
Justise,Winslow,Justise Winslow,198,101,SF,24,MIA,11,5,4.82,4.07,13000000,13000000,13000000,0
Christian,Wood,Christian Wood,208,97,PF,24,DET,62,12,1.57,3.86,1645357,0,0,0
Delon,Wright,Delon Wright,196,84,SG,28,DAL,65,5,3.85,4.32,9473684,9000000,8526316,0
Justin,Wright-Foreman,Justin Wright-Foreman,183,86,PG,22,UTA,1,0,,0.0,79568,0,0,0
Thaddeus,Young,Thaddeus Young,203,107,PF,31,CHI,64,16,5.53,3.74,12900000,13545000,14190000,0
Trae,Young,Trae Young,185,82,PG,21,ATL,60,60,6.25,8.12,6273000,6571800,8326471,11040900
Cody,Zeller,Cody Zeller,213,109,C,27,CHA,58,39,4.90,3.57,14471910,15415730,0,0
Ante,Zizic,Ante Zizic,208,121,C,23,CLE,22,0,1.89,1.00,2281800,0,0,0
Ivica,Zubac,Ivica Zubac,213,109,C,23,LAC,64,62,2.34,2.66,6481482,7000000,7518518,7518518
